harness,env,effort,score_pct,provenance,source_note
standard,AR25,max,100.0,direct,results page table row AR25
standard,AR25,xhigh,100.0,direct,
standard,AR25,high,100.0,direct,
standard,AR25,medium,100.0,direct,
standard,AR25,low,100.0,direct,
standard,AR25,none,100.0,direct,
standard,CN04,max,100.0,direct,
standard,CN04,xhigh,100.0,direct,
standard,CN04,high,100.0,direct,
standard,CN04,medium,100.0,direct,
standard,CN04,low,58.8,direct,
standard,CN04,none,85.7,direct,
standard,DC22,max,100.0,direct,
standard,DC22,xhigh,56.7,direct,
standard,DC22,high,98.1,direct,
standard,DC22,medium,56.4,direct,
standard,DC22,low,71.4,direct,
standard,DC22,none,57.4,direct,
standard,FT09,max,100.0,direct,
standard,FT09,xhigh,100.0,direct,
standard,FT09,high,100.0,direct,
standard,FT09,medium,100.0,direct,
standard,FT09,low,100.0,direct,
standard,FT09,none,100.0,direct,
standard,LP85,max,100.0,direct,
standard,LP85,xhigh,100.0,direct,
standard,LP85,high,100.0,direct,
standard,LP85,medium,100.0,direct,
standard,LP85,low,100.0,direct,
standard,LP85,none,100.0,direct,
standard,R11L,max,100.0,direct,
standard,R11L,xhigh,100.0,direct,
standard,R11L,high,100.0,direct,
standard,R11L,medium,100.0,direct,
standard,R11L,low,14.3,direct,
standard,R11L,none,100.0,direct,
standard,S5I5,max,100.0,direct,
standard,S5I5,xhigh,100.0,direct,
standard,S5I5,high,100.0,direct,
standard,S5I5,medium,100.0,direct,
standard,S5I5,low,100.0,direct,
standard,S5I5,none,100.0,direct,
standard,SB26,max,100.0,direct,
standard,SB26,xhigh,100.0,direct,
standard,SB26,high,100.0,direct,
standard,SB26,medium,100.0,direct,
standard,SB26,low,2.8,direct,
standard,SB26,none,100.0,direct,
standard,SP80,max,100.0,direct,
standard,SP80,xhigh,100.0,direct,
standard,SP80,high,100.0,direct,
standard,SP80,medium,86.0,direct,
standard,SP80,low,45.4,direct,
standard,SP80,none,93.9,direct,
standard,TR87,max,100.0,direct,
standard,TR87,xhigh,100.0,direct,
standard,TR87,high,100.0,direct,
standard,TR87,medium,100.0,direct,
standard,TR87,low,51.4,direct,
standard,TR87,none,100.0,direct,
standard,LS20,max,83.5,direct,
standard,LS20,xhigh,43.6,direct,
standard,LS20,high,32.4,direct,
standard,LS20,medium,18.2,direct,
standard,LS20,low,3.6,direct,
standard,LS20,none,26.4,direct,
standard,CD82,max,82.9,direct,
standard,CD82,xhigh,73.0,direct,
standard,CD82,high,100.0,direct,
standard,CD82,medium,38.4,direct,
standard,CD82,low,0.0,direct,
standard,CD82,none,70.2,direct,
standard,WA30,max,80.0,direct,
standard,WA30,xhigh,59.1,direct,
standard,WA30,high,46.7,direct,
standard,WA30,medium,46.7,direct,
standard,WA30,low,42.7,direct,
standard,WA30,none,80.0,direct,
standard,RE86,max,77.8,direct,
standard,RE86,xhigh,77.8,direct,
standard,RE86,high,77.8,direct,
standard,RE86,medium,58.3,direct,
standard,RE86,low,58.3,direct,
standard,RE86,none,58.3,direct,
standard,KA59,max,75.0,direct,
standard,KA59,xhigh,75.0,direct,
standard,KA59,high,75.0,direct,
standard,KA59,medium,53.6,direct,
standard,KA59,low,43.9,direct,
standard,KA59,none,53.6,direct,
standard,M0R0,max,71.4,recon-column,column-sum residual 144.8 with VC33; cap(6,5)=71.43; ordering KA59>=M0R0>=TN36
standard,M0R0,xhigh,71.4,recon-column,cap(6,5)=71.43
standard,M0R0,high,68.4,recon-free,column residual 122.0-53.57; free cell; branch fixed by medium-column mean (54.39)
standard,M0R0,medium,71.4,recon-column,cap(6,5)=71.43; branch fixed by medium-column mean
