id,seller,offer,form,price_or_contract,evidence_type,source_url,access_date,independence,proves,does_not_prove
S112,Synack 2026 pricing guide,Pentest bands by scope + all-types average,fact,$5K-$100K+ range; typical $10K-$30K; avg ~$18.3K; web-API $5K-$30K; ext-net $4K-$12K; mobile $7K-$35K,vendor pricing guide,https://www.synack.com/blog/penetration-testing-cost/,2026-09-19,vendor-secondary,$10K-$30K typical pentest + $18.3K average anchor,who buys at each tier
S113,Blaze InfoSec + Matproof,Red team + SOC2 pentest + AI PTaaS floor,fact,cloud $10K-$40K+; product $25K-$100K+; red team $50K-$150K+; SOC2 $8K-$25K (from $4999); AI PTaaS EUR 149-run,vendor guides x2,https://www.blazeinfosec.com/post/how-much-does-penetration-testing-cost/,2026-09-19,vendor-secondary,$8K-$150K+ ladder to red team + EUR 149 AI floor,AI-vs-human quality parity
S114,Ciphers Security 2026,MDR per-endpoint + flat tiers by size,fact,$8-$35-endpoint-mo; SMB flat $1.5K-$5K-mo; per-user $20-$60; Huntress $3-$9 low; CrowdStrike $25-$45; premium $50-$100+,pricing guide,https://cipherssecurity.com/mdr-pricing-what-to-expect-2026/,2026-09-19,secondary,$8-$35-endpoint + $1.5K-$5K-mo SMB flat as recurring security money,our SOC capacity (none)
S115,Serenity MSP pricing guide 2026,Managed IT per-user bands + floor warning,fact,SMB $100-$175-user-mo; mid-market $125-$225; compliance +$20-$100-user; under $80-user = missing security essentials,MSP guide,https://serenitllc.com/msp-pricing-guide,2026-09-19,vendor-secondary,$100-$225-user-mo managed IT + $80 floor rule,project-labor attach rates
S116,Talo + Translators USA 2026,Translation per-word ladder + Arabic tier,fact,$0.08-$0.40-word; certified $20-$100+-page; EN-FR tier1 $0.12-$0.16; Arabic tier2 $0.18-$0.25; rare $0.30-$0.50+,rate guides x2,https://talo.com/costs/cost-of-translation-services,2026-09-19,secondary x2,$0.08-$0.40-word ladder + Arabic $0.18-$0.25 DZ-relevant tier,MT compression of tier1
S117,LocalizeJS 2026 cost breakdown,MT-MTPE-human-transcreation stack + budget trap,fact,raw MT $0.001-$0.005; MTPE $0.05-$0.15; human $0.08-$0.30; transcreation $0.25-$0.50+; 50K words = ~$10.7K all-in (2x word math),cost breakdown,https://localizejs.com/articles/translation-costs,2026-09-19,secondary,4-layer stack + PM-dev-tooling doubling rule; transcreation survives,per-project margins
S118,Forage.ai 26-vendor guide 2026,Labeling unit benchmarks by modality,fact,classification $0.02-$0.15; bbox $0.05-$0.90; segmentation $0.50-$2+; transcription $0.50-$3-min; medical $1-$5+; managed $6-$60+-hr,vendor comparison,https://forage.ai/blog/data-labeling-companies/,2026-09-19,secondary,$0.02-$5+ unit ladder by modality + $6-$60-hr managed band,landed cost at our quality (error-rate multiplier)
S119,InterviewGuys + Lightly 2026,RLHF-annotation labor pay ladder,fact,entry $15-$20-hr; RLHF $20-$30; STEM-code $40-$65 (Outlier); multilingual $15-$30; expert-medical $50-$100-example,pay guides x2,https://blog.theinterviewguys.com/best-ai-data-labeling-and-annotation-jobs/,2026-09-19,secondary x2,$15-$65-hr labor ladder + $50-$100-example expert peak,DZ platform eligibility
S120,RemotePeople 31-provider 2026,EOR fee ladder + India floor,fact,$199-$1200-emp-mo; median ~$399; SMB $199-$400; mid $500-$700; enterprise $800+; India $99 (Asanify) vs Deel $599,provider comparison,https://remotepeople.com/blog/employer-of-record-cost/,2026-09-19,secondary,$199-$1200-emp-mo EOR fee + $99 India floor + median ~$399,non-fee burden (salary + statutory 7.65-45pct)
S121,Hire with Columbus 2026,Entity-vs-EOR TCO + hidden-fee menu,fact,entity $10K-$50K+ setup + $1.5K-$5K-mo + 3-6 mo; EOR $200-$1K; payroll pct 5-15pct; onboarding $300-$750; FX 1-3pct; offboard $200-$500,TCO comparison,https://hirewithcolumbus.com/learn/what-does-an-employer-of-record-cost/,2026-09-19,vendor-secondary,$10K-$50K+ entity moat vs $200-$1K EOR + full hidden-fee menu,per-country margin
S122,Bluebook Helpers LPO guide 2026,Doc-review outsourcing units + TAR compression,fact,per-doc $0.50-$2; per-page $0.10-$0.50; hourly $25-$75; 1M docs ~$900K-$1.2M all-in; TAR cuts 60-80pct; 40-60pct vs in-house temp,provider guide,https://bluebookhelpers.com/legal-process-outsourcing-for-document-review-a-2026-guide/,2026-09-19,vendor-secondary,$0.50-$2-doc units + TAR 60-80pct compression + 40-60pct savings proof,attorney-supervision structure cost
S123,Stellar Staff + KoreBPO 2026,Legal VA + offshore paralegal arbitrage,fact,legal VA $1299-$1999-mo FT (from $1599); hourly $7.99-$30+; offshore paralegal $19K-$30K-yr vs in-house $60K-$90K+; contract review per-doc few-hundred $,provider guides x2,https://stellarstaff.com/blog/legal-process-outsourcing-companies-the-complete-guide,2026-09-19,vendor-secondary x2,$19K-$30K-yr vs $60K-$90K+ arbitrage + $1.3K-$2K-mo VA product,supervision + confidentiality compliance
