id,hypothesis_ar,counterparty,binding_gate,gate_state,decision,max_level,key_claim,key_test,shared_dependency
H60,`H59` محسومةٌ بالاستعمال لا بالحجّة: دبوسُ AHW يُنتج حكماً مُدرَّجاً في مجاله الصحيح (درجةٌ معيارية) — فالعيبُ كان **استعمالاً** لا أداة,منهجُنا (الحَكَمُ: `results.pin_evaluations` على القرص),قابليةُ الأداة للحمل على مجالها,مُنجَزة: 7 دبابيس كاملةِ الحقول ⇒ صفرُ `UNPINNED`، والحكمُ كلُّه من العمر (122 يوماً > سقف 90) ⇒ `STALE` بالإجماع. وبوّابةٌ ترفع خطأً إن ظهر `UNPINNED` في المجال الصحيح,إغلاقُ الشقّ التجريبي من `H59`؛ والإصلاحُ الجذري في `assurance_window.py` **يبقى معلّقاً** على `T54` (ADR) لأنّ L10 إضافةٌ لا استبدال,E0,C57,T55,لا شيء — stdlibٌ واختبارٌ على القرص
H61,فرزُ أثرِ الحمايات: قولٌ دفاعيٌّ مُكمَّم من طرفٍ أوّل — «الحماياتُ القياسية تُصفر 4 من 7 أزواج تماماً، والباقي متمركزٌ 65.2% في زوجٍ واحد»,مسؤولُ أمنٍ (CISO) أو مدقّقٌ خارجي في مؤسسةٍ تشغّل وكلاء بوصولٍ تنفيذي,القبول,معلّقة على دليل لازم: الرقمُ مُسندٌ من طرفٍ أوّل مستقلّ (369←69 · تصفيرُ 4/7 · تركّزُ الباقي)، **لكنّ صفرَ مقابلةٍ مع مشترٍ**، وصفرُ بيانٍ أنّ مؤسسةً ستدفع مقابل فرزٍ لا مقابل أداةِ كشف,E1: صفحةُ نطاقٍ واحدة («أيُّ الأزواج تُصفره حماياتُك القائمة») + سؤالُ قبولٍ مكتوب على مشترٍ واحد — ⛔ بلا تشغيل الحزمة,E1,C58,T56,قناةُ فوترة + اتفاقُ سرّية
H62,مرساةُ CPST تتيح مقارنةَ كلفةٍ مُلتزمةً بـL7 — لكنّ التسعير يبقى محجوباً,منهجُنا + أيُّ مشترٍ محتمل (الحَكَمُ: `results.cpst_band`),التحصيل (مرساةُ فاتورةٍ محقّقة),مُنجَزة جزئياً: أوّلُ مرساةِ CPST من طرفٍ أوّل بالدولار [3.75، 22.99] بانتشارٍ 6.1307× على 6 أزواج، **لكنّها كلفةُ تشغيلِ وكيلٍ على حزمةٍ هجومية لا كلفةُ خدمتنا**، و`realized_anchor_present` ما زالت غائبة، و1 غيرُ مُفصَحة لم تُستكمل,⛔ لا تسعيرَ بعد: تُستعمل المرساةُ سقفاً أدنى لمقارنةٍ داخلية فقط؛ وبطاقةُ `T57` تجمع مرساةَ `REALIZED_INVOICED` واحدة قبل أيّ رقمٍ يُعرض,E0,C59,T57,مصرفٌ مراسل + فاتورةٌ محقّقة واحدة
H63,تباعدُ المُقيِّم عن المواصفة **بنيويٌّ لا مختبريٌّ**: طرفٌ ثالثٌ مستقلّ بنى حكماً (agent-as-a-judge) للسبب نفسه نصّاً,مالكُ تقييمِ وكلاء (مختبرٌ أو مؤسسةٌ بتقييمٍ داخلي),الاستقلالُ عن روايةِ طرفٍ واحد,مُنجَزة: `grader_divergent = true` في الجولة 04 كان من رواية المختبر وحده؛ وهنا يقيسه طرفٌ أوّل مستقلّ (42.86% و30.53% من الأعلام على غير الثغرة المقصودة) ⇒ **الأطروحة B لم تعد أحاديةَ المصدر**,ترقيةُ `H50`/`H51` من «طلبٌ مُسند بحادثٍ أوّل» إلى «طلبٌ مُسند بطرفَين أوّليين مستقلَّين» — ⛔ بلا ترقيةِ مستوى التزام، فالبوابةُ الحاكمة هي القبول لا الاستقلال,E0,C60,T58,لا شيء
H64,تعارُضُ طرفَين أوّليين على الحزمة نفسها (22.05% مقابل 80.29% «لم يُحلّ») **لا يُسوَّى بمتوسط** — انتشارٌ 3.6414× يُفسَّر بأربعة محاور دبوس، ثلاثةٌ منها غيرُ منشورة,منهجُنا (الحَكَمُ: `results.unsolved_conflict`),قابليةُ الاقتباس بلا دبوس,مُنجَزة: `reconciled = false` و`reconciliation_basis = PIN_DIFFERENCE_NOT_AVERAGE` صريحان، والمحاورُ الأربعة مُسمّاة؛ ⇒ الرقمُ «لم يُحلّ من 898» **غيرُ قابلٍ للاقتباس أصلاً** بلا دبوسه,قاعدةُ كتابةٍ ملزِمة (`T59`): أيُّ درجةٍ معيارية تُقتبس بدبوسها الستّة أو تُترك؛ ⛔ ولا متوسطَ بين طرفَين أوّليين,E0,C61,T59,لا شيء
H65,الميزانيةُ محورُ دبوسٍ مُنحازٌ للأسفل **بغير تناظر**: 120←360 دقيقة رفعت الأقوى +60.63% بلا هضبة، بينما الأضعف استقرّ عند 15 خلال 30 دقيقة,منهجُنا + أيُّ مشترٍ يُقتبس له رقمٌ معياري,قابليةُ الاقتباس بلا ميزانية,مُنجَزة: والمصدرُ الأوّل يعلن عن نفسه أنّ ميزانيتَه «likely undercounts what the strongest agents can do» ⇒ الانحيازُ مُعلنٌ من المصدر لا مُستنتَجٌ منّا، وهو **غيرُ متناظر** بين الأزواج فيُفسد أيَّ ترتيبٍ مبنيٍّ على ميزانيةٍ واحدة,قاعدةُ كتابة: ⛔ لا ترتيبَ لأزواجٍ قِيست بميزانياتٍ مختلفة؛ وبطاقةُ `T60` تفحص إن كان أيُّ رقمٍ اقتبسناه سابقاً يعاني الخلل نفسه,E0,C62,T60,لا شيء
H66,"محورُ الحماية ينقل النتيجة 0 ← 120 على النموذج نفسه — أقوى دليلٍ متاح على أطروحة AHW `(A,B)` معاً",منهجُنا (الحَكَمُ: `results.safeguard_pair`),قابليةُ تعريف النسبة,مُنجَزة: `ratio = None` مع `ratio_undefined_reason = ZERO_DENOMINATOR` و`recorded_as = PAIR_NOT_RATIO` — ⛔ لا `inf` ولا صفر (قاعدة D-212)؛ والمرشّحاتُ الافتراضية تحجب **كلّ** محاولات الزوج,تُستعمل إثباتاً أنّ الدرجةَ بلا `safeguard_config` رقمٌ عن شيءٍ آخر؛ ⛔ ولا تُستعمل ادّعاءَ قدرةٍ لنا (L9),E0,C63,T61,لا شيء
H67,تصحيحُ نسبٍ في عملنا المُثبَّت: ExploitGym **ليست** حزامَ تقييمٍ تابعاً لـOpenAI بل حزمةُ Berkeley RDI — والتصحيحُ **يرفع** قيمة الدليل,منهجُنا + أيُّ نصٍّ سابق يقتبس الحزمة,أمانةُ النسب,مُنجَزة: الجولة 04 نسبت 198/898 إلى OpenAI دون تمييزٍ بين **مالك الحزمة** و**مَن شغّل نموذجه عليها**؛ والطرفُ الأوّل الأكاديمي يملك المنهجية نصّاً والشركاءُ الصناعيون وفّروا الوصول فقط ⇒ القياسُ مستقلٌّ عمّن يملك النموذج المقاس,تصحيحُ `S77` بملاحظةِ نسبٍ صريحة في `evidence_round05.csv` (`S96`)؛ وبطاقةُ `T62` تفحص كلّ نصٍّ سابق يذكر ExploitGym,E0,C64,T62,لا شيء
H68,تناقضُ طرفٍ أوّل مع نفسه (D1: الجدول 1 يقول 157 والشكل 5 يقول 127 عند الميزانية نفسها) يُسجَّل **بلا حلٍّ** لأنّ حلّه بلا نصٍّ اختلاق,منهجُنا (الحَكَمُ: `results.self_contradictions`),أمانةُ السجلّ,مُنجَزة: الفرقُ 30 موثَّقٌ بـ`resolved = false` وسببٌ منطوق («لم يُقرأ نصُّ arXiv الكامل») ومعالجةٌ صريحة («كلا الرقمَين مُسجَّل؛ ولا يُقتبس أيٌّ منهما بصفة النجاح عند 120 دقيقة»),⛔ لا يُختار أحدُ الرقمَين؛ وبطاقةُ `T63` تقرأ النصَّ الكامل لحسمه أو لإبقائه معلّقاً بدليل,E0,C65,T63,لا شيء
H69,إشارةُ الطلب من ممارس (`S102`) **ليست تحقّقَ سوق** — وهي الفرضيةُ المضادّة للإغراء المتاح,منهجُنا (الحَكَمُ: `S102` في `evidence_round05.csv`),منعُ الاستدلال بـn=1,مُنجَزة: تعليقٌ واحد بلا جهةٍ ولا ميزانيةٍ ولا سلطةِ قرار ⇒ ⛔ لا يُقرأ مقابلةً ولا نيّةَ شراء؛ وقيمتُه الوحيدة المشروعة أنّ ممارساً صاغ المشكلةَ بالصياغة نفسها التي تقيسها `H52` (ادّعاءٌ دفاعي بلا قياسٍ = ضدٌّ-واقعي غيرُ مُختبَر) فيُخفّض خطرَ أنّنا نُعرّف مشكلةً لا يعرفها المشتري، **ولا يُثبته**,⛔ لا تُحتسب في `T47` (خمسُ مقابلات) ولا تُغني عنها؛ وتُذكر في أيّ عرضٍ بوصفها تعليقاً عاماً لا دليلاً,E0,C66,T64,لا شيء
