id,claim,value,unit,type,confidence,source,source_date,note
RATE-OFF-01,"سعر اليورو الرسمي (بيع) لدى بنك الجزائر",154.19,DZD/EUR,official,high,"بنك الجزائر عبر ObservAlgérie",2026-09-16,"الشراء 154.15 — قراءة يوم 16/09/2026"
RATE-PAR-01,"سعر اليورو في السوق الموازي (ساحة بورسعيد)",276.67,DZD/EUR,press,medium_high,"exchangedz.com (Square Port-Saïd)",2026-09-10,"مرجع غير قانوني — للقراءة الاقتصادية فقط، لا للاستعمال"
RATE-PAR-02,"سعر اليورو الموازي (قراءة ثانية مستقلة)",277,DZD/EUR,press,medium_high,"ObservAlgérie",2026-09-17,"يؤكد القراءة الأولى بفارق 0.12%"
GAP-01,"فارق السوق الموازي عن الرسمي",79.4,percent,computed,high,"مشتق محلياً من RATE-PAR-01 و RATE-OFF-01",2026-09-21,"الصيغة: (276.67-154.19)/154.19"
LOSS-01,"خسارة القيمة عند التحويل الرسمي مقابل المرجع الموازي",44.3,percent,computed,high,"مشتق محلياً",2026-09-21,"الصيغة: 1-154.19/276.67"
LAW-01,"عقوبة المخالفة الصرفية: حبس 2 إلى 7 سنوات",2-7,years,official_regulation,high,"المديرية العامة للجمارك الجزائرية — صفحة «مخالفة الصرف» نقلاً عن الأمر 96-22",2026-09-21,"مع غرامة لا تقل عن ضعف المبلغ ومصادرة الوسائل"
LAW-02,"حد أدنى للغرامة الصرفية = ضعف المبلغ محل المخالفة",2,multiple,official_regulation,high,"الجمارك الجزائرية (الأمر 96-22)",2026-09-21,"ولا تكون الغرامة أقل من ضعفي المبلغ"
LAW-03,"حظر عمليات التجارة الخارجية حتى 5 سنوات للمحكوم عليهم",5,years,official_regulation,high,"الأمر 96-22 (معدّل بالقانون 03-01 و10-03)",2026-09-21,"عقوبة تكميلية جوازية"
ANAE-01,"سقف رقم أعمال المقاول الذاتي — خدمات",5000000,DZD/year,official_regulation,high,"ANAE / قانون 22-23 + مصادر محاسبية متعددة",2026-08-24,"10M للتجارة — التجاوز = خروج آلي من الصفة"
ANAE-02,"سقف المقاول الذاتي باليورو",32427.5,EUR/year,computed,high,"مشتق: 5,000,000 / 154.19",2026-09-21,"الصيغة: CEILING_EUR"
ANAE-03,"سقف المقاول الذاتي شهرياً باليورو",2702.3,EUR/month,computed,high,"مشتق: CEILING_EUR / 12",2026-09-21,"سقف نموذجي لخط إيراد واحد"
ANAE-04,"IFU المقاول الذاتي",0.5,percent_of_revenue,official_regulation,high,"قانون المالية 2024 (المادة 18 — تعديل 282sexies CIDTA) عبر UpGrowth",2026-04-24,"موحّد لكل الأنشطة؛ حد أدنى 10,000 DZD/سنة"
IFU-01,"IFU المستحق على السقف كاملاً",25000,DZD/year,computed,high,"مشتق: 5,000,000 × 0.005",2026-09-21,"≈ 162 € بسعر 154.19 — أصغر بمراتب من كلفة قناة الدفع"
TAX-01,"إعفاء دائم من IBS لعمليات التصدير المولِّدة للعملة",permanent,status,official_regulation,high,"mfdgi.gov.dz — «الامتيازات الجبائية الممنوحة للتصدير»",2023-11-17,"بشرط وثيقة تُثبت الإيداع لدى بنك مُوطَّن في الجزائر"
TAX-02,"الإعفاء يُمنح بالنسبة لرقم الأعمال المحقّق بالعملة",prorata,status,official_regulation,high,"mfdgi.gov.dz",2023-11-17,"ليس إعفاءً كاملاً إذا كان جزء من رقم الأعمال بالدينار"
TAX-03,"إعفاء دائم من IRG لتصدير الخدمات المولِّد للعملة",permanent,status,official_regulation,high,"mfdgi.gov.dz + قانون المالية (المادة 138 مكرر CIDTA)",2023-11-17,"النقل البحري/الجوي/البري وإعادة التأمين والبنوك مستثناة"
TAX-04,"TAP أُلغيت نهائياً",abolished,status,official_regulation,high,"قانون المالية 2024 — المادة 23 (تعديل 355-1 CIDTA)",2024-01-07,"بديلتها: الرسم المحلي للتضامن TS (المادة 80)"
TAX-05,"شرط الإعفاء: وثيقة بنكية تُثبت إيداع العائدات",mandatory,status,official_regulation,high,"mfdgi.gov.dz + دليل المستثمر",2022-10-01,"معناه: البنك يُنشئ الامتياز لا المحاسب"
FX-01,"قرار بنك الجزائر 2024/01: فتح حساب تجاري بثلاث وثائق",3,documents,official_regulation,high,"بنك الجزائر (تعليمة 2024/01، 30/01/2024) عبر ANAE/El Moudjahid",2024-04-01,"بطاقة ANAE + هوية + إثبات سكن"
