offer,evidence,have_now,have_partial,missing,manual_7d_30d,needs_build_or_partner,collectible_from_dz,risks_startup_cost,reach_difficulty,decision
Annex IV gap review (EUR 249-1250),S06/S08 published price,governance maps + evidence ledgers (docs/governance/),report discipline; law-vs-state split,Annex IV template + specialist scope review + not-legal-advice boundary,yes/yes-after-packaging/yes,neither,DZ-unknown GATE_0,low legal risk with boundary; ~0 cost; reach=easy (landing + template),easy,CAN_SELL_WITH_PACKAGING
AR-FR injection probe pack single system,S01/S02/S04 ($12K-$100K band),naas_verifier/ + 5-class corpus + deterministic measurement,client-safe packaging,ISS-146/150 closure for full publish + Layer-A sample,yes/partial/yes,neither,DZ-unknown GATE_0,medium (publish safety); time only; reach=medium (labs),medium,CAN_SELL_WITH_SMALL_ADAPTATION
Specialist annotation-QA pilot ($500-$2K),S14/S16 Upwork bands,AR-FR bilingual + notation registry + evidence discipline,quality protocol; seller profile,quality protocol + inter-rater measure + sample + platform payout check,yes/yes/yes,neither,DZ-unknown (platform+bank),low; ~0 cost; reach=easy (marketplace),easy,CAN_SELL_WITH_PACKAGING
EA controls audit ($3K-$15K boutique),S10/S02,negative-proof methodology + gates applied on self,standalone CLI tool,isolated CLI + whitepaper + first sample,yes/no/yes,neither,DZ-unknown GATE_0,low-medium; time only; reach=medium,medium,CAN_SELL_WITH_SMALL_ADAPTATION
LLM eval subscription ($29-$2K-mo),S05/S24/S25,deterministic engines + BKT-FSRS (educational eval not LLM),nothing shippable as SaaS,full SaaS + billing + support,no/no/no,BUILD,DZ-unknown,high build cost before first dollar,hard,CAN_SELL_AFTER_BUILD
Commodity labeling ($4-$8-hr),S13,general human capacity (not scarce),nothing scarce,no technical gap — governance block D-273 L2,yes/yes/yes,neither,DZ-unknown,governance prohibition without exception,easy,REJECT
General translation ($0.05-$0.14-word),S22/S23,authentic bilingual capacity,specialization (technical-legal),specialization + governance exception for general,yes/yes/yes,neither,DZ-unknown,governance prohibition (general); race to bottom,easy,REJECT
Specialist AI FR-localization QA,S22/S23/S11,bilingual + notation + QA discipline,packaging,specialist positioning + sample,yes/yes/yes,neither,DZ-unknown,low,easy,CAN_SELL_WITH_PACKAGING
Traditional pentest ($5K-$30K),S19/S20,internal security gates (not pentest practice),methodology; certs; insurance,certs + methodology + track record + liability cover,no/no/no,PARTNER-or-BUILD,DZ-unknown,high liability; credentialed market,hard,NOT_FEASIBLE_NOW
SOC 2 audit ($7K-$150K),S21,nothing (requires licensed CPA auditor),readiness support skill,the professional license itself,no/no/no,PARTNER,DZ-unknown,licensed profession; cannot deliver,hard,NOT_FEASIBLE_NOW
Bug bounties participation (HackerOne $81M),S17/S18,individual skill (not repo asset),platform account; DZ payout check,skill proof + account + eligibility test,yes/yes/yes,neither,DZ-unknown (test by signup),income volatility; individual not entity,easy,CAN_SELL_WITH_SMALL_ADAPTATION
CBAM analysis (decision support no filing),SouthPole-SGS-GreenSutra (sold; price on request),studies-cbam + path-toll identity + 129 checks,client UI; disclaimer; asked price,UI + disclaimer + price inquiry,yes/no/partial,neither,DZ-unknown,professional-liability boundary needed,medium,CAN_SELL_WITH_SMALL_ADAPTATION
