id,claim_summary_ar,source,url,as_of,status,independence_note,reverification_trigger
S127,صفحةُ البرنامج (أولية): مكافآت Open Access بقيمة $100–500 وApplication-Only بقيمة $1000–$5000+؛ +400 بيئة/تقييم في شهرين و+80 مُراجَعة و+500 طلب إقامة؛ والتزامٌ بمئات آلاف الدولارات منحاً؛ والتقديمُ عبر استمارتَين؛ وإعادةُ تنفيذ معيارٍ قائمٍ تشترط إعادةَ إنتاجٍ كاملةً لدرجات التقييم. ⛔ الصفحةُ صامتةٌ عن وسيلة الدفع وأجلِه والأهليةِ الجغرافية,Prime Intellect — Scaling Our Open-Source Environments Program (مدوّنة الشركة),https://www.primeintellect.ai/blog/scaling-environments-program,2026-09-15,P — شروطُ برنامجٍ بقلم مُشغِّله (أوّليةٌ لما يُعلِن لا لما يُنفِّذ),البائعُ يصف عرضَه: حُجّةٌ لما تنصّ عليه الشروط و⛔ لا حجّةَ لسرعة الدفع ولا لعدالة المراجعة — فالمُشغِّل طرفٌ لا حكَم,إعادةُ الجلب عند أيّ تغييرٍ في النطاقات؛ وسؤالُ T71 عن المسكوت عنه (الدفع/الأهلية/الرسم)
S128,دليلُ المساهمة الخام (أوّلي): يتطلّب uv وPrime CLI وfork للمستودع وGit LFS؛ والتهيئةُ prime env init؛ ومسارُ PR مسودّةً يتضمّن وصفَ العمل الأصل ورابطَه وترجمتَه إلى vf.Environment وvf.Rubric؛ والاختبارُ vf-eval بتكرارٍ واحد؛ ⛔ والبناءُ مقيَّدٌ بإطار verifiers حصراً — والترخيصُ غيرُ مذكورٍ في الدليل,PrimeIntellect-ai/community-environments — docs/contributing.md (ملفٌّ خام),https://raw.githubusercontent.com/PrimeIntellect-ai/community-environments/main/docs/contributing.md,2026-09-15,P — وثيقةُ مُشغِّلٍ تقنية (أوّليةٌ للآلية),أوّليةٌ للآلية و⛔ لا تنفي وجودَ شروطٍ أخرى خارجَ الدليل — فالدليلُ تعليماتٌ لا عقد,قراءةُ LICENSE الجذريِّ وشروطِ Hub عند أوّل مساهمةٍ فعلية
S129,أُعيدت تسميةُ prime-environments إلى community-environments بنصّ الالتزام #518 (2026-03-29) — فالاسمُ القديم STALE. لقطةُ العرض (متقلّبةٌ ⛔ لا تُقتبَس): 257 نجمة و272 fork و190 فرعاً و234 التزاماً,GitHub — PrimeIntellect-ai/community-environments (صفحةُ المستودع + رسالةُ الالتزام #518),https://github.com/PrimeIntellect-ai/community-environments,2026-03-29,P — رسالةُ التزامٍ أوّليةٌ لواقعة التسمية؛ والأعدادُ لقطةُ عرضٍ متقلّبة,المستودعُ نفسُه مصدرُ اسمِه — أعلى استقلالٍ لواقعة التسمية؛ و⛔ الأعدادُ لحظيةٌ لا تُقتبَس رقماً,إعادةُ اللقطة عند الحاجة؛ واسمُ الدليل القديم في أيّ وثيقةٍ لنا خطأٌ يُصحَّح (H75)
S130,السوقُ يعرض ستةَ أمثلةِ إدراجٍ بأسعارٍ ظاهرة: $42k بعدد 4.2k مهمة و$65k بعدد 6.4k و$55k بعدد 3.5k و$18k بعدد 9.1k و$31k بعدد 2.8k و$27k بعدد 1.9k؛ وvendor.hud.ai يُحيل إلى datavendor.ai؛ والدفعُ عند الشراء. ⛔ أمثلةُ عرضٍ على صفحةِ بائعٍ — لا مبيعاتٌ مُسوّاة ولا رسمٌ مُعلَنٌ للـtasksets,DataVendor (HUD) — الصفحةُ الرئيسية للسوق (جلبٌ مباشر),https://datavendor.ai/,2026-09-15,P — أوّليةٌ لما يُعرَض على الصفحة لا لما بيع,البائعُ يعرض بضاعتَه: أوّليةٌ لما يُعرَض و⛔ لا حجّةَ أنّ الأسعارَ بيعٌ مُنجَز — فصفحةُ التسويق تُحسِّن لا تُقرّ,إعادةُ الجلب قبل أيّ إدراج؛ ومقارنةُ السعرِ الظاهر بسعرِ إغلاقٍ حقيقيٍّ واحدٍ على الأقل
S131,سكّةُ الدفع مُعلَنة: تحويلٌ بنكيٌّ بالدولار (wire/ACH) بجدول فوترةٍ متوقَّع؛ واستمارةُ قبولٍ (~5 دقائق) تُراجَع خلال 5 أيام عمل؛ واتفاقيةُ سرّيةٍ موقَّعةٍ سلفاً قبل أيّ مشاركة؛ وتسليمٌ بمراحلَ ومعاييرِ قبول,HUD — How to Sell Startup Assets to Model Labs (صفحةُ البائع الرسمية),https://www.hud.ai/resources/how-to-sell-startup-assets-model-labs,2026-09-15,P — إعلانُ مُشغِّلٍ عن سكّته (أوّليٌّ للمسار),أوّليةٌ للمسار و⛔ لا شهادةَ زمنِ تسويةٍ فعليّ — فالجدولُ المتوقَّع ليس كشفَ حساب,سؤالُ T72 عن مددِ التسوية الفعلية وشروطِ الدفع لغير المقيم
S132,انقسامُ 80/20 (البائعُ 80%) وأرضيةُ $5000 لقاعدة الشيفرة تصعد بالتدريج — ⛔ للـcodebases حصراً؛ وصفحةُ المقارنة نفسُها من تأليف البائع,HUD — Best Platforms for Selling Your Codebase in 2026 (مقارنةٌ بتأليف البائع),https://www.hud.ai/resources/best-platforms-selling-codebase,2026-06-24,M — ثانويةٌ بتأليف البائع الذي يقارن نفسَه بمنافسيه,⛔ البائعُ حكَمٌ في مباراتِه: الرقمُ يُقتبَس بدرجتِه لشروطِه هو ولا يُقتبَس ترتيبُه للمنافسين أصلاً,قراءةُ الاتفاقيةِ المعيارية قبل أيّ بيع؛ وتأكيدُ أنّ الانقسامَ لا يغطّي الـtasksets
S133,خمسةُ وكلاءِ QA معياريّين — منها Reward Hacking Detector — تعمل تلقائياً على كلّ أثرٍ (تحليلُ الفشل ومواءمةُ المُدرِّج وكاشفا السالب/الموجب الكاذبَين). ⛔ وصفُ منتجٍ بقلم بائعه — لا قياسَ فعالية,HUD — الأسئلةُ الشائعة الرسمية (صفحةُ البائع),https://www.hud.ai/,2026-09-15,P — أوّليةٌ لوجود الميزة مُعلَنةً لا لفعاليتها,قائمةُ مزايا تسويقية: تُثبت أنّ المنافسَ يُنتِج في الجوار و⛔ لا تُثبت أنّ كاشفَه يعمل,أيُّ تقييمٍ مستقلٍّ لفعالية الكاشف يُعاد به وزنُ H78
S134,ثلاثُ ثانوياتٍ مؤرَّخةٍ متقاربة (2026-07-08/09/13 وواحدةٌ تحيل إلى TechCrunch): Series A بقيمة $130M بتقييم $1B بقيادة Radical Ventures وبمشاركة NVentures وIntel Capital وDell وIconiq. ⛔ الإيرادُ السنويّ (~$100M) وعددُ الزبائن (~6000) ادّعاءا شركةٍ عبر الصحافة — غيرُ مُتحقَّقَين,Whalesbook (2026-07-08) وCreati.ai عن TechCrunch (2026-07-09) وFundraiseInsider (2026-07-13),https://creati.ai/ai-news/2026-07-09/prime-intellect-lands-130m-series-a-as-enterprises-seek-more-control-over-ai-agent-development/,2026-07-08,M — ثلاثُ ثانوياتٍ مستقلّةٍ متقاربةٍ على الجولة والمستثمرين,تقارُبٌ بلا مصدرٍ أوّل ملتقط (لا إعلانَ على مدوّنة الشركة في اللقطة) — فالدرجةُ سقفُها M حتى إعلانٍ أوّل,التقاطُ إعلانٍ أوّلٍ (مدوّنة/بيان) يرفعها إلى P؛ وظهورُ تصحيحٍ يعيد فتحَ C1
S135,محاولةُ تحقّقٍ (2026-09-15) من شارةِ توظيفٍ تصنّف الشركةَ Series B بإجمالي $70.4M: ⛔ لم تُلتقَط الشارةُ من مصدرها — والواقعةُ مُبلَّغةٌ من متن التكليف وحده,UNSTATED — متنُ التكليف (رسالةُ المستخدم 2026-09-15) ولا مصدرٌ أوّل ملتقط,UNSTATED — no primary captured 2026-09-15,2026-09-15,UNSTATED — مُبلَّغٌ لا ملتقط,⛔ ليست دليلاً — تُحفَظ طرفاً ثانياً في C1 حتى الالتقاط أو الإسقاط,T75: التقاطُ صفحة التوظيف أو إسقاطُ الطرف
S136,إطلاقُ Prime Sprints (2026-05-20) بمسارٍ أوّل: reward hacking — أرصدةٌ مجانية وتشغيلاتٌ مدعومة وتجربةُ 1B بقيمة $0.64 في 30 دقيقة وبيئاتُ backdoor-ifeval وسابقةُ مختبِر beta (تكرارُ goblin mode). ⛔ دعمٌ بحثيٌّ لا فاتورةَ نقديةَ معلَنة,Prime Intellect — Systematic Reward Hacking and Prime Sprints (مدوّنة الشركة),https://www.primeintellect.ai/blog/reward-hacking,2026-05-20,P — إعلانُ مُشغِّلٍ عن برنامجه (أوّليٌّ للآلية),المُشغِّل يصف برنامجَه: أوّليةٌ للشروط و⛔ لا حجّةَ لاستمرار التمويل — فالبرامجُ المجتمعية تُجمَّد بصمت,إعادةُ الجلب قبل أيّ مشاركة؛ وتوثيقُ أيّ تجميدٍ يُسقط القناةَ من الترتيب
