rail,type,available_in_dz,evidence,evidence_source,evidence_date,fees_published,trap,status
Deel,contractor_payout,yes,"تغطية توظيف المقاولين في الجزائر + سحوبات متعددة (بطاقة/بنكي/Payoneer)","deel.com/hiring/contractors/algeria + SALES-INTEL-01",2026-09-19,"0 $ على المقاول · 49 $/شهر على العميل",لن يستعمله عميل صغير جداً — اعرضه على مشترٍ مؤسسي فقط,usable
Payoneer,cross_border_wallet,yes,"الأشيع بين المستقلين الجزائريين؛ يستقبل من Upwork/Fiverr/Appen",grey.co (دليل الجزائر) + SALES-INTEL-01,2026-09-19,"1.2–4% عند السحب بتحويل عملة + 29.95 $/سنة + رسم ثابت على السحب الصغير","الهامش مخفيّ في سعر الصرف لا في رسوم معلنة — قِس السعر النهائي",usable
Malt,marketplace,yes,"الجزائر ضمن البلدان المفتوحة لتسجيل المستقلين (تحديث 17/06/2026)","help.malt.com + تقرير الفرص §3",2026-06-17,"عمولة على الخدمة · الدفع عبر Mangopay","التسجيل يستلزم وضعاً قانونياً ووثائق — لا يُفتح بالاسم فقط",usable
Grey.co,wallet,yes,"يقبل الجزائر؛ حسابات USD/GBP/EUR وبطاقات افتراضية","SALES-INTEL-01 (INT-14) + grey.co",2026-09-19,"غير معلن بالكامل",ليست بنكاً — لا تعتمد كحساب الشركة الرسمي,usable_with_caution
Upwork,marketplace,yes,"المرور عبر Payoneer متاح",web6.tn + SALES-INTEL-01,2026-09-19,"2 $ لكل سحب + 10–20% عمولة منصّة",العمولة تأكل الهامش على المهام الصغيرة,usable
Fiverr,marketplace,yes,"المرور عبر Payoneer متاح",web6.tn,2026-03-04,"2% عند السحب (حد أدنى 1 $)",الضغط السعري يخفض الأجر الفعلي إلى 5–10 $/س,usable
Wise,wallet,prohibited_unavailable,"لا يدعم الإقامة الجزائرية: البطاقة غير متاحة وإغلاقات موثّقة",exiap + envoyerlargent + شهادات مستخدمين,2026-05-21,"—","«حل» بعنوان أوروبي = خطر إغلاق + تعقيد ضريبي",prohibited_as_base
PayPal,wallet,prohibited_unavailable,"لا استقبال أموال في الجزائر",مصادر متعددة + شهادات مستخدمين,2025-01-01,"—",يقتل كل منصّة تدفع PayPal فقط,prohibited_as_base
Paysera,bank_like,unclear,"تناقض داخلي: عقيدة الصرف تعدّها عملية، وتحليل 2026-09-19 يقول إنها ذهبت","FOREIGN_CURRENCY_DOCTRINE vs SALES-INTEL-01",2026-09-19,"—",⛔ لا يُبنى عليها قبل فتح حساب فعلي وتوثيق النتيجة,open
Crypto_USDT,wallet,prohibited_by_law,"محظور قانوناً في الجزائر + منع صريح في عقيدة المستودع (K1)",عقيدة العملة الصعبة (K1),2026-08-21,"—","مخالفة صرفية + قلب الكيان — لا يُدرج في أي خطة",prohibited
Personal_account_third_party,bank_account,prohibited_by_policy,"كسر مسار الإعفاء (لا وثيقة إيداع باسم الكيان) + مخاطرة قانونية",عقيدة العملة الصعبة (K3) + قانون التصدير,2026-08-21,"—","ليست حلاً ذكياً: تُلغي الأهلية الضريبية وتحوّل الإيراد إلى مخالفة",prohibited
Local_devise_account,bank_account,yes,"حساب بالعملة يُفتح بثلاث وثائق للمقاول الذاتي (تعليمة بنك الجزائر 2024/01)","ANAE + El Moudjahid + Algerie360",2024-04-01,"رسوم بنكية عادية + شروط سحب نقدي","السحب النقدي يخضع لتدبير بنك الجزائر — لا تفترض سيولة نقدية فورية",usable
DGFiP_PA_list,b2b_channel,yes,"قائمة رسمية قابلة للتنزيل: 150 منصة معتمدة + 16 مرشّحة، وكل صف يحمل بريد اتصال","impots.gouv.fr (ملفا DGFiP)",2026-09-07,"—","ليست عقداً: تُعالَج بالحجم الصغير أولاً ثم تُقاس",usable
ANECS_CJEC_la_bourse,b2b_channel,no,"النشر مقصور على الأعضاء؛ العروض المنشورة موجّهة لخبراء محاسبين معتمدين","labourse.anecs-cjec.org (تحقّق مباشر)",2026-09-21,"—","لا تحاول النشر — راقب القائمة أسبوعياً وردّ على ما فيه بريد تواصل",read_only
