id,claim_summary_ar,source,url,as_of,status,independence_note,reverification_trigger
"S104","م04 من التعليمة 06-2021: titulaire du compte devise commerçant et non commerçant ouvre droit à l'intégralité du produit de ses recettes d'exportation de biens et de services — أي 100% للسلع والخدمات معاً","بيان بنك الجزائر 18-07-2021 (المصدر الرسمي نفسه) — يُعيد التأكيد على التعليمة 06-2021","https://www.bank-of-algeria.dz/les-exportateurs-disposent-100-recettes-leurs-exportations/","2021-07-18","F — مصدرٌ أولي (بنك الجزائر)","⛔ أعلى درجة استقلال متاحة: السلطةُ المصدرة للنصّ. ونصّه يذكر «بما فيها المؤسسات الناشئة الناشطة في اقتصاد المعرفة» صراحةً","طلبُ النصّ الكامل للتعليمة 06-2021 من بنك الجزائر للتأكد من حرفية م04 لا من بيانٍ شارح"
"S105","إعفاءٌ من التوطين المصرفي لصادرات الخدمات الرقمية، وخدمات المؤسسات الناشئة، و«المهنيين غير التجّار» — قرار مجلس النقد والقرض 28-03-2021 برئاسة المحافظ رستم فاضلي","APS (وكالة الأنباء الجزائرية الرسمية)","https://www.aps.dz/economie/119801-les-exportations-de-services-numeriques-et-des-startups-dispensees-de-la-domiciliation-bancaire","2021-03-29","F — وكالة رسمية تنقل قرار المجلس","يرفع إسناد §01 في العقيدة من moukawil.dz (قاعدة معرفة) إلى قرارٍ مُسمّى بتاريخه ورئيسه","قراءةُ النصّ الكامل للنظام 01-2021 (28-03-2021) للتأكد من صياغة الإعفاء"
"S106","⛔ دحضُ قيد «50% من عوائد التصدير» المنسوب إلى trade.gov: النصّ الأولي يقول 100% ويشمل الخدمات","بنك الجزائر 18-07-2021 + م04 التعليمة 06-2021 (S104)","https://www.bank-of-algeria.dz/les-exportateurs-disposent-100-recettes-leurs-exportations/","2021-07-18","F — أولي","يتعارض مع ما نقلته لوحة 2026-09 عن trade.gov؛ اعتمدنا المصدرَ الأولي على الدليل التجاري","إن عُثر على نصٍّ لاحقٍ يُعيد قيدَ الـ50% ⇒ يُصحَّح هذا السطر قبل أيّ شيء"
"S107","النظام 26-02 (23-07-2026)، الجريدة الرسمية ن°58 (12-08-2026)، بتوقيع المحافظ محمد الأمين لبو، يُعدّل م61 من النظام 07-01 ويُلغي النظام 16-04 (17-11-2016) — أجلُ الترحيل 120 يوماً، 180 بتأمين ائتمانٍ مُسبق، أجلُ الدفع يُنصَّ عليه صراحةً في العقد، والترحيلُ يوم دفع العميل","TSA-Algérie","https://www.tsa-algerie.com/exportations-la-banque-dalgerie-durcit-les-regles-de-rapatriement-des-devises/","2026-08-14","⚠️ ثانوي — صحافةٌ تنقل نصاً رسمياً حرفياً","أولُ خمسة مصادر متطابقة؛ لا يغني أيٌّ منها عن النصّ","قراءةُ نصّ الجريدة الرسمية ن°58 (شرطُ إغلاق بطاقة T40)"
"S108","النصُّ الحرفي لم61 المعدَّل: «l'exportateur doit rapatrier la recette ... dans un délai n'excédant pas cent vingt (120) jours, à compter de la date d'expédition pour les biens ou de la date de réalisation pour les services»","Express DZ","https://www.expressdz.dz/2026-08-14/banque-dalgerie-le-delai-de-rapatriement-des-recettes-dexportation-reduit-a-120-jours/","2026-08-14","⚠️ ثانوي — يقتبس المادة حرفياً","مستقلٌّ عن S107 (مؤسسةٌ مختلفة) ويقتبس النصّ لا يلخّصه","كما في S107"
"S109","التمديدُ إلى 180 يوماً مشروطٌ بتأمين ائتمانٍ مُسبق لدى «الهيئة الوطنية المؤهَّلة»، و180 هو الحدُّ الأقصى المطلق، والعقودُ الجارية تحت الـ360 تخضع للـ120","Maghreb Émergent","https://maghrebemergent.news/fr/exportations-la-banque-dalgerie-reduit-le-rapatriement-des-devises-a-120-jours/","2026-08-14","⚠️ ثانوي","يضيف السياقَ الاقتصادي (احتياطي الصرف + مكافحة تهريب رؤوس الأموال) ويذكر تعليمةَ 10 أوت وقرارَ 48 ساعة","كما في S107"
"S110","«En tout état de cause, le rapatriement du produit de l'exportation doit intervenir le jour de son paiement par le client non-résident» — أي إنّ بقاءَ الحصيلة في محفظةٍ بعد الدفع حدثُ امتثال","DNAlgérie","https://dnalgerie.com/rapatriement-de-devises-ce-qui-change-en-algerie/","2026-08-15","⚠️ ثانوي — يقتبس الصيغة حرفياً","مستقلٌّ عن الثلاثة السابقة؛ وهو السندُ الذي يُقيّد §03 من العقيدة (Paysera/Payoneer/Grey)","كما في S107"
"S111","تأكيدٌ رابعٌ وخامس للنصّ نفسه مع تفصيلِ أهدافه (تسريعُ عودة العملة + مكافحةُ التصدير بلا ترحيل وتجزئة الشحنات والتصريح الناقص)","Observalgérie + algeriainvest.com + algerie-eco.com","https://observalgerie.com/2026-08-14/economie/algerie-ce-qui-change-pour-les-exportateurs-dans-le-rapatriement-des-devises","2026-08-14","⚠️ ثانوي","خمسةُ مصادر متطابقة ⇒ احتمالُ الخطأ المنسَّق منخفض، لكنه لا يسدّ مسدَّ النصّ","كما في S107"
"S112","الجريدة الرسمية ن°58 = **12 أوت 2026** — تحديدٌ مستقلّ للتاريخ مع عنوان النظام 26-02","UpGrowth (أرشيف الجريدة) + conformepro.dz","https://www.upgrowth.dz/journal-officiel/archives/2026","2026-09-06","⚠️ ثانوي — فهرسٌ لمصدرٍ رسمي","مؤسستان مستقلتان تؤرّخان الرقمَ نفسه؛ تُقوّيان الإسنادَ الزمني لا المضمون","تنزيلُ PDF الجريدة من joradp.dz"
"S113","⚠️ محاولةُ جلب `joradp.dz/FTP/2026/058.pdf` أعادت محتوىً فارغاً — **لم يُقرأ النصُّ الأولي**","محاولةُ جلبٍ مباشرة","http://www.joradp.dz/FTP/2026/058.pdf","2026-09-12","❌ فشلُ استرجاع — مُعلَن لا مُخفى","وهذا سببُ بقاء سؤال D-282 `OPEN` رغم خمسة مصادر متطابقة","إعادةُ المحاولة من شبكةٍ أُخرى، أو طلبُ النصّ من بنك الجزائر/وزارة التجارة"
"S114","⛔ م126 من الأمر 03-11 (26-08-2003): يُحظَر على المقيمين تكوينُ أيّ أصلٍ عقاري أو منقول أو ائتماني أو **مصرفي** من أموالٍ مصدرها الجزائر إلا بإذنٍ صريحٍ من بنك الجزائر — وم08 من النظام 07-01 يُعيد الحظر","تحليلٌ قانوني منشور + النصّ الكامل للنظام 07-01 على موقع بنك الجزائر","https://algerie-eco.com/2016-12-18/detention-davoirs-financiers-a-letranger-residents-algeriens/","2016-12-18","F للنصّ (م08 مُتحقَّق من PDF البنك) · ⚠️ للتحليل","⛔ **دحضٌ لوصفة LLC/Mercury المتداولة**: النصّ صريح، والأدبيات التجارية تتجاهله","قراءةُ الأمر 03-11 المعدَّل كاملاً للتأكد من عدم وجود استثناءٍ جديد بعد 2016"
"S115","العقوبة: سجن 2–7 سنوات، غرامةٌ لا تقلّ عن ضعف المبلغ، ومصادرةُ جسم الجريمة والوسائل — الأمر 96-22 (09-07-1996) المعدَّل بـ03-01 (2003) و10-03 (2010)","المديرية العامة للجمارك (الأساس القانوني) + تحليل S114","https://www.douane.gov.dz/spip.php?article53=","2012-07-09","F للأساس القانوني (جهة رسمية) · ⚠️ لمقادير العقوبة","⛔ يرفع المسارَ الموازي وحيازةَ الحسابات الأجنبية من «مخالفة» إلى **تعرّض جزائي** — وهو ما يُبرّر قاعدةَ «الأشدُّ في التصميم»","قراءةُ الأمر 96-22 المعدَّل كاملاً من الجريدة الرسمية للتأكد من المقادير الحالية"
"S116","الاستثناءُ الوحيد: الاستثمارُ الخارجي المرخَّص — ارتباطٌ بالنشاط، ≥10% من حقوق التصويت، تمويلٌ ذاتي، بلدٌ شفّافٌ جبائياً وبتبادل معلومات، ترحيلُ الإيرادات وحصيلة التصفية في الآجال، وتقريرٌ سنويٌّ مُصدَّق إلى مديرية الصرف","تحليل S114 استناداً إلى م126 من الأمر 03-11","https://algerie-eco.com/2016-12-18/detention-davoirs-financiers-a-letranger-residents-algeriens/","2016-12-18","⚠️ ثانوي","⛔ النسخةُ القانونية من «شركة بالخارج» **تُعيد** العملة إلى الجزائر — عكسَ ما تُباع به الوصفة","طلبُ إجراءات الترخيص الحالية من مديرية الصرف ببنك الجزائر"
