id,nom,type,siren,ville,telephone,email,role_cible,canal_1,hook_fr,flag_opposition,statut,date_contact,objection,prochaine_action,date_action,source,verifie_le
1,GROUPE T2F (T2F-BEA),cabinet expertise comptable,non_verifie,Toulouse,05 61 54 39 60,contact@groupe-t2f.eu,associe / resp. production,mail_puis_tel,"Vous vendez un diagnostic facture electronique : qui execute le nettoyage des referentiels clients quand 300 dossiers arrivent en meme temps ?",a_verifier,a_contacter,,,,,groupe-t2f.eu,2026-09-21
2,ARCOEX (AR COMPTA EXPERT),cabinet expertise comptable,753097047,Quint-Fonsegrives,05 61 63 73 07,contact@arcoex.fr,associe,tel_puis_mail,"Votre page sur la facturation electronique est claire : qui verifie les SIREN de vos 300 dossiers avant septembre 2027 ?",a_verifier,a_contacter,,,,,recherche-entreprises.api.gouv.fr + arcoex.fr,2026-09-21
3,Cabinet Archipel,cabinet expertise comptable 100% Pennylane,non_verifie,Lyon,04 23 32 40 36,contact@archipel-lyon.fr,Gaël Gente (associe),mail,"Vous etes 100% Pennylane : Pennylane donne l'outil, il ne verifie pas les SIREN de vos clients.",a_verifier,a_contacter,,,,,archipel-lyon.fr,2026-09-21
4,Cabinet Finot & Associés,cabinet expertise comptable,non_verifie,Brignais,04 84 88 52 52,contact@finotassocies.fr,associe fondateur,mail,"Votre article s'arrete au choix du logiciel. Le fichier clients, lui, reste a nettoyer.",a_verifier,a_contacter,,,,,finotassocies.fr,2026-09-21
5,RYDGE Conseil,reseau expertise comptable,903309490,Montpellier,04 67 99 14 00,page_contact_site,resp. agence Montpellier / resp. production,tel_puis_linkedin,"La facturation electronique est dans votre catalogue : qui fiabilise les referentiels en pleine campagne fiscale ?",a_verifier,a_contacter,,,,,recherche-entreprises.api.gouv.fr + rydge.fr,2026-09-21
6,JF Occitanie (Cabinet Richer),cabinet expertise comptable,329912554,Nimes,04 66 23 56 60,contact@jfoccitanie.fr,associe / chef de mission,mail,"Trois sites, quarante ans de dossiers : qui controle les SIREN et les contacts de facturation avant l'emission obligatoire ?",a_verifier,a_contacter,,,,,jfoccitanie.fr + annuaire,2026-09-21
7,Balagué Expertise,cabinet expertise comptable,501058812,Castelginest,05 61 37 66 45,philippe-balague@balague-expertise.fr,Philippe Balague (gerant),tel,"Vous avez deja une page test facture electronique : le test qui compte, c'est le taux d'erreur de votre base clients.",a_verifier,a_contacter,,,,,balague-expertise.fr,2026-09-21
8,Exco Fiduciaire du Sud-Ouest (Exco Toulouse-Feuillants),groupe regional expertise comptable,540800406,Toulouse,05 61 77 08 77,contact@exco.fr,membre du directoire / resp. production,mail_puis_linkedin,"Votre groupe accompagne des milliers de PME : la fiabilisation des referentiels est-elle faite en interne ou sous-traitee ?",a_verifier,a_contacter,,,,,exco.fr + infonet,2026-09-21
9,In Extenso Midi-Pyrénées,reseau national TPE,493489413,Toulouse,05 61 11 05 55,page_contact_site,Frédéric Fenech (directeur d'agence),tel_puis_linkedin,"Deux associes, une clientele TPE : la preparation des fichiers clients pour la plateforme agreee, qui la fait ?",a_verifier,a_contacter,,,,,annuaire.experts-comptables.org + inextenso.fr,2026-09-21
10,Groupe CF (Compagnie Fiduciaire) Toulouse,reseau 4 agences,non_verifie,Toulouse,05 40 45 30 10,page_contact_site,Yann Benchora / Bertrand Enjalbert,mail,"Quatre agences, des dossiers repris d'autres cabinets : qui collecte et verifie les identifiants de routage ?",a_verifier,a_contacter,,,,,compagnie-fiduciaire.com,2026-09-21
11,Nexco Expertise,cabinet digital Pennylane Gold,894279652,Paris 8e,01 59 13 35 79,contact@nexco.fr,Raphaël Berguig,mail,"250 entreprises sur Pennylane et des migrations Sage/Cegid : qui fiabilise les SIREN a la migration ?",a_verifier,a_contacter,,,,,nexco-expertise.com,2026-09-21
12,Effinum (SPEE SAS),plateforme agreee (PA),non_verifie,Paris 15e,02 41 33 66 61 (support),contact@effinum.fr,resp. onboarding / partenariats,mail_puis_call,"Le goulot n'est pas la plateforme : c'est la qualite des referentiels qui y entrent.",a_verifier,a_contacter,,,,,effinum.fr + comparateur PA,2026-09-21
13,Pennylane,plateforme agreee + editeur,non_verifie,Paris,01 73 02 46 41 (support),formulaire_partenariat,equipe partenariats / ecosysteme cabinets,formulaire,"Des milliers de factures Factur-X/mois : combien echouent pour un referentiel client incomplet ?",a_verifier,a_contacter,,,,,pennylane.com/fr/partenaires,2026-09-21
14,Tiime,plateforme agreee / editeur,823811278_a_confirmer,Paris 9e,01 86 65 10 43,contact@tiime.fr,equipe experts-comptables,formulaire_contact_ec,"Le taux de SIREN invalides a l'entree est un cout de support : je le reduis en amont.",a_verifier,a_contacter,,,,,tiime.fr/contact-ec,2026-09-21
15,Dext France,editeur / saisie de donnees,non_verifie,Paris,01 73 44 33 95,page_contact_site,partenariats cabinets,formulaire,"Vos cabinets partenaires vous envoient des donnees clients non fiabilisees : transformons cela en offre.",a_verifier,a_contacter,,,,,dext.com,2026-09-21
16,Cegid (Shine / experts-comptables),editeur logiciels,410218010,Lyon 9e,0800 73 00 79,page_contact_site,direction partenariats cabinets,tel_commercial,"Votre base cabinets transitionne vers la facture electronique : je prends l'etape referentiel.",a_verifier,a_contacter,,,,,cegid.com/fr/contact,2026-09-21
17,Cerfrance Drôme-Ardèche (DP),reseau AGC,non_verifie,Drôme/Ardèche,04 75 78 11 11,contact@dp.cerfrance.fr,service digitalisation,mail,"Vous deployez Effinum : qui nettoie le referentiel qui produit la facture ?",a_verifier,a_contacter,,,,,cerfrance-dp.fr,2026-09-21
