id,hypothesis_ar,risk_class,market(20%),advantage(15%),speed(15%),scalability(15%),net_FX(15%),capital_eff(10%),sustainability(5%),sovereignty(5%),weighted_score/50,fraud_to_2035_bn_usd_realistic
H1,بيانات لغوية عربية (جمع ووسم وترخيص),منخفضة,4,5,5,4,4,5,4,4,44.0,0.25
H2,دبلجة وصوت عربي/فرنكي,منخفضة,3,4,5,3,4,5,4,4,39.0,0.2
H3,مصانع برمجيات فرنكوفونية,منخفضة,5,5,4,4,4,5,4,3,44.0,1.5
H4,حافز التصوير الصحراوي,منخفضة,3,5,5,3,4,5,3,4,40.0,0.25
H5,وسم صناعي B2B,منخفضة,4,4,5,4,4,5,4,3,42.0,0.35
H6,مركز دعم ثلاثي اللغة,منخفضة,4,4,5,4,4,5,4,3,42.0,0.2
H7,تمور ومشتقات فاخرة,منخفضة,3,5,4,3,4,4,4,5,38.5,0.4
H8,تصدير صحي للساحل,منخفضة,3,4,4,3,4,4,4,4,36.5,0.3
H9,تصدير تعليم هندسي,منخفضة,3,4,4,3,3,5,4,5,36.5,0.15
H10,منصة تصدير الجالية,منخفضة,2,4,5,3,3,5,3,5,35.5,0.15
H11,DesertGrid حوسبة صحراوية,متوسطة,5,5,3,5,5,3,5,3,44.0,1.2
H12,سحابة إفريقية سيادية,متوسطة,4,4,3,4,4,3,4,4,37.5,0.3
H13,أمونيا زرقاء معتمدة,متوسطة,5,5,3,5,4,2,5,3,41.5,1.5
H14,حديد أخضر HBI,عالية,5,5,3,5,5,2,5,3,43.0,2.5
H15,مجمع فوسفاط كامل,متوسطة,5,5,3,4,4,2,5,4,40.5,2.0
H16,ميثانول أخضر وتنكيت,متوسطة,4,4,2,4,4,2,5,3,35.0,0.5
H17,مضاعفة الهيليوم,متوسطة,3,5,4,3,5,4,4,5,40.0,0.3
H18,كهرباء للساحل,متوسطة,4,5,3,4,4,3,4,5,39.5,0.5
H19,أدوية وأمصال لإفريقيا,متوسطة,4,3,3,4,4,3,4,4,36.0,0.4
H20,مدى اختبار مناخ حار,متوسطة,3,5,3,3,4,3,4,4,35.5,0.2
H21,سياحة عالية القيمة,متوسطة,4,4,3,4,4,3,4,5,38.0,1.5
H22,زجاج وسيليكا تصديري,متوسطة,3,4,3,3,4,3,4,4,34.0,0.4
H23,هيدروجين أخضر SoutH2,عالية,5,4,2,5,3,1,5,2,35.5,0.8
H24,صلب أخضر كامل,عالية,5,5,2,5,4,1,5,2,38.5,1.5
H25,خط نيجيريا-الجزائر,عالية,4,4,1,5,4,1,5,2,33.5,1.0
H26,تخزين CO2 كخدمة,عالية,4,4,2,4,4,2,4,3,34.5,0.5
H27,توطين صناعات مكثفة للطاقة,عالية,5,5,2,5,3,2,5,3,38.5,1.5
H28,خزنة بيانات صحراوية,ثورية,2,5,3,3,4,4,5,4,35.0,0.15
H29,هيئة اعتماد مناخ حار,ثورية,3,5,3,4,3,4,5,5,37.5,0.2
H30,طب الساحل البعيدي,ثورية,3,4,4,4,4,5,4,4,39.0,0.25
H31,سندات الأفق للجالية,ثورية,4,4,4,3,5,5,3,5,41.0,2.0
H32,اعتماد نماذج لغوية عربية,ثورية,3,5,3,4,3,4,5,5,37.5,0.1
